"Years","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Violent crimes","1208030","1344520","1361820","1322390","1258087","1273282","1327767","1489169","1483999","1566221","1646037","1820127","1911767","1932274","1926017","1857670","1798792","1688540","1636099","1533887","1426044","1425486","1439480","1423677","1383676","1360088","1390745","1435123","1422970","1394461","1325896","1251248","1206031","1217057","1168298","1153022","1199310","1285606","1283875","1252399","1250393","1313105"
"    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Northeast","289193","323456","337715","315941","295723","289883","297369","314753","319482","344316","360293","384497","383413","373913","366162","340312","314233","292259","276720","258838","242562","237657","231126","225965","218746","213409","215441","218999","206033","204951","198722","198333","196989","195891","191037","182139","180474","178406","171696","164441","164411","172219"
"        Midwest","268608","289750","285677","273082","265488","270835","273060","304014","300237","306106","317757","354392","380051","368675","369213","367912","363105","333618","329304","311280","278564","275106","279218","274308","261388","257807","272526","281115","279201","269757","259451","244866","235138","239436","237138","232437","242893","258949","258578","249802","250007","264915"
"        South","378025","424727","433202","438904","412954","424348","456998","516005","509260","548062","577320","654784","693615","713565","717267","691481","677702","657973","642707","605776","579082","582887","593711","589769","574277","573753","583798","601429","607546","599467","562140","518808","498306","497113","490913","491498","509043","528273","524545","507232","511209","546535"
"        West","271827","306120","304645","293969","283486","287728","301330","354397","355020","367737","390667","426454","454688","476121","473375","457965","443752","404690","387365","357993","325836","329836","335425","333635","329265","315119","318980","333580","330190","320286","305583","289241","275598","284627","280596","280111","302444","319978","329056","330924","324766","329436"
"    By offense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Homicide","21460","23040","22520","21010","19308","18692","18976","20613","20096","20675","21500","23438","24703","23760","24526","23326","21606","19645","18211","16974","15522","15586","16037","16229","16528","16148","16740","17309","17128","16465","15399","14722","14661","14856","14319","14164","15883","17413","17294","16374","16669","21570"
"        Robbery","480700","565840","592910","553130","506567","485008","497874","542775","517704","542968","578326","639271","687732","672478","659870","618949","580509","535594","498534","447186","409371","408016","423557","420806","414235","401470","417438","449246","447324","443563","408742","369089","354772","355051","345093","322905","328109","332797","320596","281278","268483","243600"
"        Aggravated assault","629480","672650","663900","669480","653294","685349","723246","834322","855088","910092","951707","1054863","1092739","1126974","1135607","1113179","1099207","1037049","1023201","976583","911740","911706","909023","891407","859030","847381","862220","874096","866358","843683","812514","781844","752423","762009","726777","731089","764057","802982","810319","810982","822017","921505"
"        Rape, legacy","76390","82990","82500","78770","78918","84233","87671","91459","91111","92486","94504","102555","106593","109062","106014","102216","97470","96252","96153","93144","89411","90178","90863","95235","93883","95089","94347","94472","92160","90750","89241","85593","84175","85141","82109","84864","91261","96970",,,,
"        Rape, revised ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113695","118027","126134","132414","135666","143765","143224","126430"
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Alabama","15578","17320","18423","17653","16471","17204","18398","22616","22833","23052","24329","28630","34518","36052","32676","28844","26894","24159","24379","22286","21421","21620","19582","19931","19331","19324","19678","19553","20775","21110","21194","18363","20166","21693","20834","20727","22957","25878","25469","25567","24769","22322"
"        Alaska","1994","1919","2537","2732","2940","3108","3031","3046","2391","2682","2623","2885","3499","3877","4557","4644","4656","4417","4270","4015","3908","3554","3735","3627","3877","4159","4194","4610","4520","4475","4424","4537","4416","4412","4709","4684","5391","5966","6338","6555","6346","6126"
"        Arizona","14528","17673","16082","14785","14642","15756","19202","21835","20742","21147","21320","23911","25152","25706","28142","28653","30095","27963","28411","26984","26334","27281","28675","30171","28638","28952","30478","33456","32835","31567","28128","26528","26789","28077","27576","26422","27968","32542","35647","34053","32603","35980"
"        Arkansas","7984","7656","7119","7438","6930","7549","8199","9365","9839","10237","11397","12511","14072","13831","14381","14598","13741","13161","13293","12442","10848","11904","12190","11501","12449","13814","14670","15538","15226","14649","14905","14711","14173","13851","13705","14248","15769","16563","16996","16904","17547","20363"
"        California","184087","210290","208485","201429","194491","195589","201763","248370","253943","261912","284136","311051","331122","345624","336381","318395","305154","274996","257582","229883","207879","210531","212867","208388","205551","189175","190178","194483","191561","185329","174934","164133","154943","160944","154739","153763","166883","174796","178597","176604","174341","174026"
"        Colorado","14472","15215","15755","15354","14955","14548","15219","17105","15409","15548","15636","17328","18887","20086","20229","18632","16494","15463","14139","15008","13811","14367","15492","15882","15757","17121","18498","18794","17101","17480","17022","16339","16085","15951","16099","16487","17348","19030","20901","22851","22149","24570"
"        Connecticut","12902","12768","14033","12597","11767","12422","12758","13578","13455","14759","16576","18201","17761","16252","14949","14916","13293","13490","12781","11993","11342","11058","11492","10807","11045","10113","9542","10505","10547","10737","10588","10083","9889","10183","9439","8575","7938","8169","8190","7485","6583","6459"
"        Delaware","3127","2824","3044","3370","2746","2671","2695","2703","2774","2981","3745","4365","4857","4280","4801","4549","5198","4845","5753","5672","5534","5363","4868","4836","5525","5105","5332","5983","6100","6187","5713","5608","5144","5048","4633","4568","4760","4859","4377","4079","4128","4262"
"        District of Columbia","10553","12772","14468","13397","11933","10725","10171","9423","10016","11914","12937","14919","14671","16685","16888","15177","14744","13411","10708","8988","8448","8626","9195","9322","9061","7590","8032","8772","8325","8509","8089","8026","7433","7866","8415","8199","8538","8236","6976","6995","7403","7127"
"        Florida","73881","94095","98109","93411","88292","95270","106971","121013","123168","138343","140575","160990","157243","162827","164975","160016","151711","151350","149996","140016","129044","129777","130713","128721","124280","123754","125957","129602","131878","126256","113541","101969","98198","94087","91993","91345","93625","88700","85606","81980","81291","83368"
"        Georgia","28594","29993","30527","26963","26179","27935","30311","35869","35868","42589","47357","48996","48894","49496","50019","47103","47317","46966","45408","43762","41585","41319","41671","39271","39435","40217","40725","44754","46917","47353","42073","39068","36762","37675","37519","38955","38891","40268","37118","35619","34666","42850"
"        Hawaii","2651","2889","2424","2542","2579","2409","2313","2604","2851","2810","3004","3113","2744","2998","3061","3091","3509","3322","3299","2946","2785","2954","3117","3262","3400","3213","3253","3608","3544","3510","3550","3603","3465","3378","3585","3362","4201","3452","3577","3622","3745","3576"
"        Idaho","2613","2957","2717","2501","2361","2355","2360","2232","2138","2345","2582","2776","3016","3003","3097","3238","3745","3177","3107","3468","3066","3267","3211","3419","3362","3452","3670","3666","3841","3680","3805","3464","3202","3348","3471","3439","3593","3876","4111","4196","4162","4432"
"        Illinois","83540","91753","90781","88644","83629","83441","82448","93454","92216","93557","98611","110575","119955","113664","112260","112928","117836","105482","102476","97291","83621","81196","79270","75759","70376","69365","70496","69498","68528","67780","64185","57132","54523","53556","51956","47775","49755","56054","55777","52343","52601","53612"
"        Indiana","18254","20633","18672","16444","15547","16781","17014","16937","18169","21187","22735","26275","28349","28791","27941","30205","30451","31366","30179","25423","22261","21230","22734","22001","21842","20294","20302","20303","21310","21525","21455","20983","21619","22544","23627","24105","25373","26516","26307","25009","25006","24161"
"        Iowa","5259","5826","5915","5018","5262","5781","6106","6703","6553","7279","7563","8321","8477","7816","9159","8914","10071","7771","8841","8916","8034","7796","7865","8388","8175","8499","8697","8521","8970","8651","8485","8191","7883","8167","8443","8484","8619","9170","9038","8303","9086","9601"
"        Kansas","8376","9168","8796","8088","7919","8147","8716","9076","8932","9083","10073","11093","12465","12888","12564","11314","10792","10642","11151","10972","10159","10470","10909","10229","10831","10330","10701","11960","12730","11554","11460","10602","10209","10292","9928","10235","11483","11665","11654","12861","11811","12385"
"        Kentucky","8748","9711","10599","11550","11967","10342","11384","12467","12589","12284","13302","14386","16262","20107","17530","16991","14079","12448","12386","12909","12212","11903","10510","11101","10232","10152","11134","11361","12329","12690","11000","10604","10465","9852","9280","9495","9887","10452","10292","9719","9872","11600"
"        Louisiana","27229","27926","27478","29185","28444","30251","31108","34128","30916","31711","34257","37914","40438","42209","45600","42369","43741","40426","37248","34057","32033","30440","30678","29690","28622","28844","26889","30923","31789","29613","28878","25241","25373","22839","24127","23983","25202","26477","25986","25314","26072","29704"
"        Maine","2221","2173","2214","1847","1829","1832","1950","1726","1806","1898","1676","1759","1631","1616","1558","1611","1631","1553","1500","1566","1404","1397","1435","1396","1422","1364","1483","1533","1565","1572","1580","1621","1638","1626","1761","1698","1726","1649","1610","1500","1562","1466"
"        Maryland","33007","35735","37800","36254","34736","34455","36655","37177","34820","37466","40152","43940","46469","49085","49540","47457","49757","47230","43127","40903","38447","41663","42088","42015","38778","38961","39369","38111","36063","35393","33625","31607","28817","28086","28235","26767","28185","29019","30321","28330","27511","24215"
"        Massachusetts","30650","34444","36273","33031","33264","30362","31334","32476","33060","36376","39912","44300","44138","46727","48393","42749","41739","39122","39411","38192","34023","30230","30585","31137","30377","29489","29644","32217","28487","30137","30503","30737","28232","27047","27264","26689","26453","25975","24318","23424","22662","21288"
"        Michigan","56558","59014","59058","59806","64993","68979","66714","73517","71772","68980","65760","73468","75232","72672","75021","72751","65680","60951","57663","60947","56709","55159","55424","54306","51550","49737","55936","56981","53765","51512","49825","48693","43731","44962","44757","42555","41712","45782","44883","45176","43793","47641"
"        Minnesota","8973","9250","9344","9062","7909","8802","10751","11991","12118","12490","12549","13392","14006","15144","15986","16397","16416","15782","15827","14656","13085","13813","13145","13428","13316","13751","15243","16042","15054","13853","12874","12515","12323","12419","12710","12505","13319","13365","13345","12403","13395","15698"
"        Mississippi","7786","8588","7706","7515","7255","7326","7079","7196","7081","8544","8156","8758","10085","10763","11467","13177","13560","13261","12808","11302","9671","10267","10006","9858","9336","8568","8131","9076","8502","8942","8451","7999","8009","7769","8303","8331","8190","8411","7661","7929","7779","8638"
"        Missouri","25662","27177","26675","25078","23718","23071","25321","29310","27792","28393","32634","36602","39358","38448","38963","39240","35339","31669","31192","30222","27353","27419","30472","30557","28067","28226","30477","31897","32962","29701","29513","27440","26888","27189","26216","26882","30292","31720","32450","30696","30680","33385"
"        Montana","1762","1740","2004","1801","1737","1958","1722","1289","1223","989","935","1273","1130","1400","1489","1516","1491","1415","1161","1797","2090","2807","3187","3197","3351","2723","2634","3564","3638","3013","2798","2733","2755","2803","2924","3361","3647","3886","3937","4040","4472","5077"
"        Nebraska","3556","3512","2861","3641","3477","3627","3821","4196","4004","4374","4503","5209","5330","5598","6071","6322","6253","7182","7265","7507","7167","5606","5214","5428","5105","5393","5052","5197","5524","5570","5199","5093","4672","4802","4949","5201","5167","5661","5979","5583","5887","6473"
"        Nevada","5866","7304","7575","7096","5838","5726","6244","6923","7006","8275","6947","7222","8693","9247","12157","14597","14461","13005","13395","11244","10311","10474","12359","13856","13813","14379","14654","18687","19365","18973","18639","17929","15452","16763","16888","18043","20118","19924","16663","16715","15334","14445"
"        New Hampshire","1241","1653","1375","1187","1200","1308","1405","1433","1581","1622","1865","1459","1318","1397","1550","1328","1314","1373","1328","1270","1159","2167","2144","2056","1937","2202","1761","1785","1896","2054","2125","2204","2864","2841","2952","2625","2692","2668","2642","2404","2152","2000"
"        New Jersey","36747","44373","46674","45175","41304","39659","41172","43623","41507","44993","47111","50057","49257","48745","49390","48544","47652","42459","39673","35720","33540","32298","33094","32252","31488","30943","30919","30550","28544","28351","27113","27055","27203","25727","25748","23319","22879","21861","20604","18536","18382","17353"
"        New Mexico","7272","7967","8913","9982","9608","9798","10207","10731","9427","9938","10755","11821","12922","14781","15024","14708","13804","14399","14762","16700","14520","13786","14288","13719","12535","13081","12448","12797","13311","12967","12709","12147","11904","11660","12990","12465","13672","14585","16300","17637","17302","16393"
"        New York","161906","180235","188178","174833","161489","162157","165365","175210","179691","196396","203042","212458","210184","203311","195352","175433","152683","132206","124890","115915","107147","105111","98022","95030","89486","84914","85839","84016","79962","77546","75110","76492","77463","79535","77563","75972","75126","74315","70746","68512","70260","70339"
"        North Carolina","25009","26589","25986","26865","24911","24885","26327","30128","31039","32753","35902","41332","44355","46600","47178","46308","46508","43068","45071","43723","41474","40051","40465","39118","38243","38244","40650","42088","42231","43125","37946","34679","33421","34464","33587","32718","34734","37767","38043","36980","39773","44451"
"        North Dakota","403","352","444","414","365","368","322","348","382","392","417","472","415","530","522","522","556","541","559","570","424","523","505","496","508","558","706","1255","1343","1441","1723","1548","1699","1723","1979","2001","1949","1905","2133","2154","2302","2518"
"        Ohio","49092","53646","53509","47126","42759","41430","41000","45260","45436","49144","51109","54904","61460","57935","55915","53930","53799","47896","48706","40628","35616","37935","40023","40128","38185","38787","40162","41491","40759","40436","38305","36306","35218","34827","33722","33130","34373","35759","34621","34426","34618","36104"
"        Oklahoma","11719","12589","13223","14103","13964","13438","13930","14423","13664","14179","15847","17222","18533","20005","20512","21225","21770","19710","18560","18053","17066","17177","17726","17587","17758","17635","18044","17905","18234","19359","18560","18100","17311","18102","17187","16052","16746","17855","17989","18701","17279","18255"
"        Oregon","13781","12802","12671","12529","12986","13533","14807","14830","14697","14959","14625","14405","14795","15189","15254","16067","16408","14837","14412","13778","12432","12000","10650","10298","10506","10724","10444","10534","11015","9909","9968","9648","9643","9638","9536","10294","10680","10983","11629","12146","12382","12380"
"        Pennsylvania","39133","43032","44104","42767","40782","38154","39240","42629","44087","43534","45586","51213","53824","51276","50295","51425","51586","57905","53140","50470","50431","51584","50432","49578","49210","50998","52761","55028","51806","51044","48188","46612","46189","45384","42825","40298","40348","40389","40030","39099","39160","49793"
"        Rhode Island","3485","3864","4205","3849","3392","3220","3355","3271","3547","3947","3772","4334","4638","3965","4017","3744","3643","3437","3292","3084","2840","3121","3278","3051","3074","2673","2710","2460","2424","2656","2678","2709","2586","2657","2710","2320","2565","2529","2474","2326","2357","2440"
"        South Carolina","19889","20225","20275","23061","20133","20607","21121","22789","22773","25889","28576","34050","34621","34029","37281","37756","36067","36875","37235","34647","32920","33225","33114","33761","33455","33160","32590","33322","34630","32746","30799","27923","27894","26474","24263","24038","24448","25137","25412","25463","26307","27691"
"        South Dakota","1096","873","718","684","840","1041","967","883","849","813","969","1133","1281","1383","1490","1641","1513","1297","1457","1139","1227","1259","1171","1350","1329","1319","1387","2071","1926","2227","1777","2196","2105","2701","2733","2801","3302","3636","3753","3483","3523","4476"
"        Tennessee","18135","20824","19019","19586","18836","21010","22592","25919","25900","26205","27118","32698","35955","37487","39047","38705","40549","41175","42389","38832","38111","40233","42776","41562","40409","41113","45104","46043","46482","44913","41933","38909","38895","41213","38063","39989","40816","42459","43940","42687","40908","46328"
"        Texas","67988","77978","78560","88178","80546","80737","90030","109925","105961","109499","111889","129343","145743","142369","137419","129838","124303","123270","117126","111566","112306","113653","122155","126018","122246","121554","121091","121602","122014","123585","121684","113231","104734","106475","108757","109711","113193","121064","123984","118197","122263","131084"
"        Utah","4158","4425","4527","4440","4144","4035","4398","4441","3861","4110","4417","4892","5077","5267","5599","5810","6415","6638","6878","6599","5869","5711","5314","5488","5889","5647","5612","5771","6347","6165","5998","5925","5547","5939","6644","6464","7138","7406","7515","7551","7588","8471"
"        Vermont","908","914","659","655","696","769","790","807","748","791","753","716","662","624","658","562","692","714","705","628","676","691","644","658","707","713","782","905","802","854","837","820","925","891","775","643","747","851","1082","1155","1293","1081"
"        Virginia","15642","16355","17456","16970","16236","16660","16813","17708","17414","17940","19057","21694","23459","23907","24160","23437","23921","22782","23249","22115","21626","19943","20939","21256","20490","20608","21434","21683","21035","20031","18195","17184","16014","15676","16355","16522","16705","18495","17811","17357","17916","17925"
"        Washington","17064","19098","18839","17251","15986","17676","18757","19505","19945","21543","22460","24410","26224","27454","27040","27317","26300","23857","24724","24380","21716","21788","21258","20964","21272","21330","21745","22303","21768","21888","22412","21138","20152","20553","20223","20185","20505","22101","22483","23719","23095","22596"
"        West Virginia","3156","3547","3410","3405","3375","3283","3214","3156","2605","2476","2724","3036","3440","3833","3793","3931","3842","3836","3971","4503","6336","5723","5035","4221","4627","5110","4968","5113","5016","5006","5554","5586","5497","5943","5657","5850","6397","6633","6564","5411","5725","6352"
"        Wisconsin","7839","8546","8904","9077","9070","9367","9880","12339","12014","10414","10834","12948","13723","13806","13321","13748","14399","13039","13988","13009","12908","12700","12486","12238","12104","11548","13367","15899","16330","15507","14650","14167","14268","16254","16118","16763","17549","17716","18638","17365","17305","18861"
"        Wyoming","1579","1841","2116","1527","1219","1237","1307","1486","1387","1479","1227","1367","1427","1489","1345","1297","1220","1201","1225","1191","1115","1316","1272","1364","1314","1163","1172","1307","1344","1330","1196","1117","1245","1161","1212","1142","1300","1431","1358","1235","1247","1364"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Federal Bureau of Investigation","Crime Data Explorer","Summary Reporting System","https://crime-data-explorer.app.cloud.gov/pages/home","","2020","Yearly "
"Exported on: 01/09/2023"
